player_name,mfl_player_id,year,position,positional_rank
Drake London,15751,2022,WR,40
Kenneth Walker III,15711,2022,RB,30
Breece Hall,15708,2022,RB,20
Garrett Wilson,15753,2022,WR,44
Treylon Burks,15752,2022,WR,39
Kenny Pickett,15692,2022,QB,32
Jameson Williams,15756,2022,WR,61
Chris Olave,15754,2022,WR,50
James Cook,15715,2022,RB,40
George Pickens,15762,2022,WR,79
Christian Watson,15789,2022,WR,64
Skyy Moore,15766,2022,WR,54
Jahan Dotson,15755,2022,WR,67
Malik Willis,15694,2022,QB,39
Rachaad White,15721,2022,RB,61
Dameon Pierce,15717,2022,RB,52
Desmond Ridder,15697,2022,QB,36
Isaiah Spiller,15709,2022,RB,48
Tyler Allgeier,15712,2022,RB,62
David Bell,15758,2022,WR,80
Trey McBride,15794,2022,TE,32
Alec Pierce,15768,2022,WR,100
Tyquan Thornton,15787,2022,WR,113
Ty Chandler,15723,2022,RB,122
Matt Corral,15691,2022,QB,37
Hassan Haskins,15720,2022,RB,95
John Metchie,15759,2022,WR,90
Jelani Woods,15840,2022,TE,44
Zamir White,15714,2022,RB,70
Jalen Tolbert,15788,2022,WR,104
Brian Robinson,15716,2022,RB,64
Khalil Shakir,15761,2022,WR,115
Tyrion Davis-Price,15746,2022,RB,82
Sam Howell,15693,2022,QB,45
Wan'Dale Robinson,15757,2022,WR,92
Romeo Doubs,15779,2022,WR,126
Samori Toure,15841,2022,WR,169
Greg Dulcich,15797,2022,TE,41
Justyn Ross,15763,2022,WR,123
Tyler Badie,15718,2022,RB,104
Keaontay Ingram,15734,2022,RB,102
Cade Otton,15802,2022,TE,57
Pierre Strong Jr,15733,2022,RB,94
Velus Jones,15767,2022,WR,122
Daniel Bellinger,15873,2022,TE,53
Kyren Williams,15710,2022,RB,88
Jalen Nailor,15786,2022,WR,159
Jerome Ford,15713,2022,RB,91
