player_name,mfl_player_id,year,position,positional_rank
Joe Burrow,14777,2020,QB,21
Jonathan Taylor,14802,2020,RB,19
Clyde Edwards-Helaire,14803,2020,RB,16
Tua Tagovailoa,14778,2020,QB,33
D'Andre Swift,14797,2020,RB,26
Jerry Jeudy,14833,2020,WR,53
Cam Akers,14799,2020,RB,29
J.K. Dobbins,14800,2020,RB,39
Justin Herbert,14779,2020,QB,35
Justin Jefferson,14836,2020,WR,57
CeeDee Lamb,14832,2020,WR,52
Henry Ruggs,14834,2020,WR,59
Ke'Shawn Vaughn,14810,2020,RB,34
Michael Pittman,14842,2020,WR,71
Denzel Mims,14846,2020,WR,75
Jalen Reagor,14839,2020,WR,68
Laviska Shenault,14838,2020,WR,80
Zack Moss,14798,2020,RB,49
Tee Higgins,14835,2020,WR,76
AJ Dillon,14805,2020,RB,57
Brandon Aiyuk,14840,2020,WR,78
Jordan Love,14782,2020,QB,46
Bryan Edwards,14844,2020,WR,119
Cole Kmet,14867,2020,TE,40
Chase Claypool,14841,2020,WR,89
Devin Duvernay,14847,2020,WR,108
Darrynton Evans,14808,2020,RB,60
Jalen Hurts,14783,2020,QB,42
Jacob Eason,14780,2020,QB,56
Tyler Johnson,14864,2020,WR,122
Joshua Kelley,14807,2020,RB,68
Antonio Gibson,14852,2020,RB,70
KJ Hamler,14837,2020,WR,94
Lynn Bowden,14843,2020,WR,126
Anthony McFarland,14804,2020,RB,63
Van Jefferson,14858,2020,WR,106
James Proche,14848,2020,WR,152
Quintez Cephus,14850,2020,WR,158
Antonio Gandy-Golden,14863,2020,WR,110
Devin Asiasi,14936,2020,TE,48
LeVante Bellamy,14830,2020,RB,999
Eno Benjamin,14801,2020,RB,104
Lamical Perine,14806,2020,RB,91
DeeJay Dallas,14815,2020,RB,95
Adam Trautman,14870,2020,TE,47
Michael Warren,14816,2020,RB,999
Isaiah Hodgins,14849,2020,WR,173
Albert Okwuegbunam,14873,2020,TE,54
